[NOTUS TEXTFILE V3.1]
File Created: 13-Jul-2019 13:38:00
Tow Date: 13-Jul-2019 8:27:04


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,13:20:16,---,---,---,---,---,
C24S,13:21:00,---,---,---,---,---,
C24S,13:21:44,---,---,---,---,---,
C24S,13:22:28,---,---,---,---,---,
C24S,13:23:12,---,---,---,---,---,
C24S,13:23:57,---,---,---,---,---,
C24S,13:24:41,---,---,---,---,---,
C24S,13:25:25,---,---,---,---,---,
C24S,13:26:08,1919.5,---,---,---,---,
C24S,13:26:42,61.4,26.9,---,---,---,
C24S,13:27:19,64.2,28.3,---,---,---,
C24S,13:27:55,63.4,28.0,---,---,---,
C24S,13:28:31,63.2,27.9,---,---,---,
C24S,13:29:07,63.2,27.2,---,---,---,
C24S,13:29:42,63.1,26.9,---,---,---,
C24S,13:30:19,63.0,26.6,---,---,---,
C24S,13:30:56,63.7,30.1,---,---,---,
C24S,13:31:31,63.5,23.8,---,---,---,
C24S,13:32:07,63.2,26.7,---,---,---,
C24S,13:32:42,63.3,26.5,---,---,---,
C24S,13:33:18,63.6,25.7,---,---,---,
C24S,13:33:54,63.9,29.7,---,---,---,
C24S,13:34:28,63.6,25.5,---,---,---,
C24S,13:35:05,63.5,27.1,---,---,---,
C24S,13:35:41,62.6,26.4,---,---,---,
C24S,13:36:16,64.5,30.1,---,---,---,
C24S,13:36:52,45.7,26.6,---,---,---,
C24S,13:37:32,---,---,---,---,---,

Transponder: A96N
Placement: Port

Code,Time,Range(m),Data(),Latitude,Longitude,Echo Sounder(m),Comment
A96N,08:27:12,48.9,---,---,---,---,
A96N,08:27:47,49.2,---,---,---,---,
A96N,08:28:25,48.5,---,---,---,---,
A96N,08:29:02,48.4,---,---,---,---,
A96N,08:29:39,48.7,---,---,---,---,
A96N,08:30:14,48.2,---,---,---,---,
A96N,08:30:51,48.3,---,---,---,---,
A96N,08:31:28,48.8,---,---,---,---,
A96N,08:32:05,48.6,---,---,---,---,
A96N,08:32:41,48.4,---,---,---,---,
A96N,08:33:16,48.5,---,---,---,---,
A96N,08:33:53,49.0,---,---,---,---,
A96N,08:34:28,48.6,---,---,---,---,
A96N,08:35:04,48.6,---,---,---,---,
A96N,08:35:39,48.6,---,---,---,---,
A96N,08:36:16,48.8,---,---,---,---,
A96N,08:36:51,47.9,---,---,---,---,
A96N,08:37:27,15.4,---,---,---,---,
A96N,08:38:15,---,---,---,---,---,
A96N,08:38:59,---,---,---,---,---,
A96N,08:39:43,---,---,---,---,---,
A96N,08:40:27,---,---,---,---,---,
A96N,08:41:11,---,---,---,---,---,
A96N,08:41:55,---,---,---,---,---,
A96N,08:42:39,---,---,---,---,---,
A96N,08:43:23,---,---,---,---,---,
A96N,08:44:07,---,---,---,---,---,
A96N,08:44:51,---,---,---,---,---,
A96N,08:45:35,---,---,---,---,---,
A96N,08:46:19,---,---,---,---,---,
A96N,08:47:04,---,---,---,---,---,
A96N,08:47:48,---,---,---,---,---,
A96N,08:48:32,---,---,---,---,---,
A96N,08:49:16,---,---,---,---,---,
A96N,08:50:00,---,---,---,---,---,
A96N,08:50:44,---,---,---,---,---,
A96N,08:51:28,---,---,---,---,---,
A96N,08:52:12,---,---,---,---,---,
A96N,08:52:56,---,---,---,---,---,
A96N,08:53:40,---,---,---,---,---,
A96N,08:54:24,---,---,---,---,---,
A96N,08:55:08,---,---,---,---,---,
A96N,08:55:52,---,---,---,---,---,
A96N,08:56:36,---,---,---,---,---,
A96N,08:57:21,---,---,---,---,---,
A96N,08:58:05,---,---,---,---,---,
A96N,08:58:49,---,---,---,---,---,
A96N,08:59:33,---,---,---,---,---,
A96N,09:00:17,---,---,---,---,---,
A96N,09:01:01,---,---,---,---,---,
A96N,09:01:45,---,---,---,---,---,
A96N,09:02:29,---,---,---,---,---,
A96N,09:03:13,---,---,---,---,---,
A96N,09:03:57,---,---,---,---,---,
A96N,09:04:41,---,---,---,---,---,
A96N,09:05:25,---,---,---,---,---,
A96N,09:06:09,---,---,---,---,---,
A96N,09:06:53,---,---,---,---,---,
A96N,09:07:38,---,---,---,---,---,
A96N,09:08:22,---,---,---,---,---,
A96N,09:09:06,---,---,---,---,---,
A96N,09:09:50,---,---,---,---,---,
A96N,09:10:34,---,---,---,---,---,
A96N,09:11:18,---,---,---,---,---,
A96N,09:12:02,---,---,---,---,---,
A96N,09:12:46,---,---,---,---,---,
A96N,09:13:30,---,---,---,---,---,
A96N,09:14:14,---,---,---,---,---,
A96N,09:14:58,---,---,---,---,---,
A96N,09:15:42,---,---,---,---,---,
A96N,09:16:26,---,---,---,---,---,
A96N,09:17:11,---,---,---,---,---,
A96N,09:17:55,---,---,---,---,---,
A96N,09:18:39,---,---,---,---,---,
A96N,09:19:23,---,---,---,---,---,
A96N,09:20:07,---,---,---,---,---,
A96N,09:20:51,---,---,---,---,---,
A96N,09:21:35,---,---,---,---,---,
A96N,09:22:19,---,---,---,---,---,
A96N,09:23:03,---,---,---,---,---,
A96N,09:23:47,---,---,---,---,---,
A96N,09:24:31,---,---,---,---,---,
A96N,09:25:15,---,---,---,---,---,
A96N,09:25:59,---,---,---,---,---,
A96N,09:26:43,---,---,---,---,---,
A96N,09:27:28,---,---,---,---,---,
A96N,09:28:12,---,---,---,---,---,
A96N,09:28:56,---,---,---,---,---,
A96N,09:29:40,---,---,---,---,---,
A96N,09:30:24,---,---,---,---,---,
A96N,09:31:08,---,---,---,---,---,
A96N,09:31:52,---,---,---,---,---,
A96N,09:32:36,---,---,---,---,---,
A96N,09:33:20,---,---,---,---,---,
A96N,09:34:04,---,---,---,---,---,
A96N,09:34:48,---,---,---,---,---,
A96N,09:35:32,---,---,---,---,---,
A96N,09:36:16,---,---,---,---,---,
A96N,09:37:00,---,---,---,---,---,
A96N,09:37:45,---,---,---,---,---,
A96N,09:38:29,---,---,---,---,---,
A96N,09:39:13,---,---,---,---,---,
A96N,09:39:57,---,---,---,---,---,
A96N,09:40:41,---,---,---,---,---,
A96N,09:41:25,---,---,---,---,---,
A96N,09:42:09,---,---,---,---,---,
A96N,09:42:53,---,---,---,---,---,
A96N,09:43:37,---,---,---,---,---,
A96N,09:44:21,---,---,---,---,---,
A96N,09:45:05,---,---,---,---,---,
A96N,09:45:49,---,---,---,---,---,
A96N,09:46:33,---,---,---,---,---,
A96N,09:47:17,---,---,---,---,---,
A96N,09:48:02,---,---,---,---,---,
A96N,09:48:46,---,---,---,---,---,
A96N,09:49:30,---,---,---,---,---,
A96N,09:50:14,---,---,---,---,---,
A96N,09:50:58,---,---,---,---,---,
A96N,09:51:42,---,---,---,---,---,
A96N,09:52:26,---,---,---,---,---,
A96N,09:53:10,---,---,---,---,---,
A96N,09:53:54,---,---,---,---,---,
A96N,09:54:38,---,---,---,---,---,
A96N,09:55:22,---,---,---,---,---,
A96N,09:56:06,---,---,---,---,---,
A96N,09:56:50,---,---,---,---,---,
A96N,09:57:34,---,---,---,---,---,
A96N,09:58:19,---,---,---,---,---,
A96N,09:59:03,---,---,---,---,---,
A96N,09:59:47,---,---,---,---,---,
A96N,10:00:31,---,---,---,---,---,
