[NOTUS TEXTFILE V3.1]
File Created: 06-Aug-2019 16:11:22
Tow Date: 06-Aug-2019 9:26:03


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
A96N,11:21:15,---,---,---,---,---,
A96N,11:21:59,---,---,---,---,---,
A96N,11:22:43,---,---,---,---,---,
A96N,11:23:27,---,---,---,---,---,
A96N,11:24:11,---,---,---,---,---,
A96N,11:24:56,---,---,---,---,---,
A96N,11:25:40,---,---,---,---,---,
A96N,11:26:24,---,---,---,---,---,
A96N,11:27:08,---,---,---,---,---,
A96N,11:27:52,---,---,---,---,---,
A96N,11:28:36,---,---,---,---,---,
A96N,11:29:20,---,---,---,---,---,
A96N,11:30:04,---,---,---,---,---,
A96N,11:30:48,---,---,---,---,---,
A96N,11:31:32,---,---,---,---,---,
A96N,11:32:16,---,---,---,---,---,
A96N,11:33:00,---,---,---,---,---,
A96N,11:33:44,---,---,---,---,---,
A96N,11:34:28,---,---,---,---,---,
A96N,11:35:13,---,---,---,---,---,
A96N,11:35:57,---,---,---,---,---,
A96N,11:36:41,---,---,---,---,---,
A96N,11:37:25,---,---,---,---,---,
A96N,11:38:09,---,---,---,---,---,
A96N,11:38:53,---,---,---,---,---,
A96N,11:39:37,---,---,---,---,---,
A96N,11:40:21,---,---,---,---,---,
A96N,11:41:05,---,---,---,---,---,
A96N,11:41:49,---,---,---,---,---,
A96N,11:42:33,---,---,---,---,---,
A96N,11:43:17,---,---,---,---,---,
A96N,11:44:01,---,---,---,---,---,
A96N,11:44:46,---,---,---,---,---,
A96N,11:45:30,---,---,---,---,---,
A96N,11:46:14,---,---,---,---,---,
A96N,11:46:58,---,---,---,---,---,
A96N,11:47:42,---,---,---,---,---,
A96N,11:48:26,---,---,---,---,---,
A96N,11:49:10,---,---,---,---,---,
A96N,11:49:54,---,---,---,---,---,
A96N,11:50:38,---,---,---,---,---,
A96N,11:51:22,---,---,---,---,---,
A96N,11:52:06,---,---,---,---,---,
A96N,11:52:50,---,---,---,---,---,
A96N,11:53:34,---,---,---,---,---,
A96N,11:54:18,---,---,---,---,---,
A96N,11:55:03,---,---,---,---,---,
A96N,11:55:47,---,---,---,---,---,
A96N,11:56:31,---,---,---,---,---,
A96N,11:57:15,---,---,---,---,---,
A96N,11:57:59,---,---,---,---,---,
A96N,11:58:35,82.4,---,---,---,---,
A96N,11:59:10,80.7,---,---,---,---,
A96N,11:59:46,80.9,---,---,---,---,
A96N,12:00:21,80.9,---,---,---,---,
A96N,12:00:57,81.2,---,---,---,---,
A96N,12:01:32,81.0,---,---,---,---,
A96N,12:02:08,81.8,---,---,---,---,
A96N,12:02:43,81.1,---,---,---,---,
A96N,12:03:19,81.5,---,---,---,---,
A96N,12:03:56,81.5,---,---,---,---,
A96N,12:04:32,81.2,---,---,---,---,
A96N,12:05:07,81.4,---,---,---,---,
A96N,12:05:42,81.4,---,---,---,---,
A96N,12:06:18,81.1,---,---,---,---,
A96N,12:06:54,81.1,---,---,---,---,
A96N,12:07:29,80.9,---,---,---,---,
A96N,12:08:05,81.2,---,---,---,---,
A96N,12:08:40,66.0,---,---,---,---,
A96N,12:09:21,---,---,---,---,---,
A96N,12:10:05,---,---,---,---,---,
A96N,12:10:49,---,---,---,---,---,
A96N,12:11:33,---,---,---,---,---,
A96N,12:12:17,---,---,---,---,---,
A96N,12:13:01,---,---,---,---,---,
A96N,12:13:45,---,---,---,---,---,
A96N,12:14:29,---,---,---,---,---,
A96N,12:15:13,---,---,---,---,---,
A96N,12:15:57,---,---,---,---,---,
A96N,12:16:41,---,---,---,---,---,
A96N,12:17:26,---,---,---,---,---,
A96N,12:18:10,---,---,---,---,---,
A96N,12:18:54,---,---,---,---,---,
A96N,12:19:38,---,---,---,---,---,
A96N,12:20:22,---,---,---,---,---,
A96N,12:21:06,---,---,---,---,---,
A96N,12:21:50,---,---,---,---,---,
A96N,12:22:34,---,---,---,---,---,
A96N,12:23:18,---,---,---,---,---,
A96N,12:24:02,---,---,---,---,---,
A96N,12:24:46,---,---,---,---,---,
A96N,12:25:30,---,---,---,---,---,
A96N,12:26:14,---,---,---,---,---,
A96N,12:26:58,---,---,---,---,---,
A96N,16:01:02,84.8,---,---,---,---,
A96N,16:01:40,84.4,---,---,---,---,
A96N,16:02:17,84.6,---,---,---,---,
A96N,16:02:54,84.1,---,---,---,---,
A96N,16:03:31,84.0,---,---,---,---,
A96N,16:04:09,84.2,---,---,---,---,
A96N,16:04:46,84.5,---,---,---,---,
A96N,16:05:23,83.9,---,---,---,---,
A96N,16:06:00,84.0,---,---,---,---,
A96N,16:06:37,84.0,---,---,---,---,
A96N,16:07:14,84.0,---,---,---,---,
A96N,16:07:51,87.0,---,---,---,---,
A96N,16:08:28,84.8,---,---,---,---,
A96N,16:09:05,83.7,---,---,---,---,
A96N,16:09:42,85.4,---,---,---,---,
A96N,16:10:19,85.2,---,---,---,---,
A96N,16:10:56,51.7,---,---,---,---,

Transponder: G72H
Placement: Headline Height

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
G72H,09:26:25,---,---,---,---,---,
G72H,09:27:09,---,---,---,---,---,
G72H,09:27:53,---,---,---,---,---,
G72H,09:28:37,---,---,---,---,---,
G72H,09:29:21,---,---,---,---,---,
G72H,09:30:05,---,---,---,---,---,
G72H,09:30:49,---,---,---,---,---,
G72H,09:31:33,---,---,---,---,---,
G72H,09:32:17,---,---,---,---,---,
G72H,09:33:01,---,---,---,---,---,
G72H,09:33:45,---,---,---,---,---,
G72H,09:34:29,---,---,---,---,---,
G72H,09:35:13,---,---,---,---,---,
G72H,09:35:57,---,---,---,---,---,
