FileName: C:\2005NE~1\GP252.TXT
Local Time: Fri Sep 16 18:14:43 2005

Ship: Marco Michel Trip: 09 Tow: gp252
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050916  211849  47  12.1960 N  60  42.2400 W   2.3        3.0        2.3        8.1        7.1       38.3 
050916  211851  47  12.1950 N  60  42.2410 W   1.9        3.0        2.3        8.1        6.4*      50.1*
050916  211853  47  12.1940 N  60  42.2420 W   2.5        3.0        2.3        8.1        6.4       50.1 
050916  211855  47  12.1940 N  60  42.2430 W   1.9        3.0        2.3        8.1        6.4       54.5*
050916  211857  47  12.1920 N  60  42.2440 W   2.5        3.0        2.3        8.1        6.3*      54.5 
050916  211859  47  12.1910 N  60  42.2460 W   1.7        3.0       11.1*       8.1        6.3       54.5 
050916  211901  47  12.1900 N  60  42.2470 W   2.8        3.0       11.1        8.1        6.7*      57.2*
050916  211903  47  12.1890 N  60  42.2470 W   1.4        3.0       11.1        8.1        6.7       57.2 
050916  211905  47  12.1880 N  60  42.2480 W   2.6        3.0       11.1        8.1        6.7       57.2 
050916  211907  47  12.1870 N  60  42.2490 W   1.9        3.0       11.1        8.1        5.0*      68.6*
050916  211909  47  12.1860 N  60  42.2500 W   2.3        3.0       11.1        8.1        5.0       68.6 
050916  211911  47  12.1850 N  60  42.2510 W   2.2        3.0       12.1*       8.1        5.8*      61.1*
050916  211913  47  12.1840 N  60  42.2510 W   1.8        3.0       12.1        8.1        5.8       61.1 
050916  211915  47  12.1840 N  60  42.2520 W   2.4        3.0       12.1        8.1        5.8       61.1 
050916  211917  47  12.1820 N  60  42.2530 W   1.8        3.0       12.1        8.1        4.3*      54.1*
050916  211919  47  12.1810 N  60  42.2540 W   2.6        3.0       12.1        8.1        4.3       54.1 
050916  211921  47  12.1800 N  60  42.2550 W   2.1        3.0       12.1        8.1        4.3       54.1 
050916  211923  47  12.1790 N  60  42.2560 W   2.3        3.0       12.1        8.1        5.6*      87.5*
050916  211925  47  12.1780 N  60  42.2560 W   1.9        3.0       12.1        8.1        5.6       87.5 
050916  211927  47  12.1780 N  60  42.2570 W   2.2        3.0       12.1        8.1        4.4*      53.7*
050916  211929  47  12.1770 N  60  42.2580 W   2.2        3.0       12.1        8.1        4.4       53.7 
050916  211931  47  12.1750 N  60  42.2590 W   2.4        3.0       12.1        8.1        4.4       53.7 
050916  211933  47  12.1740 N  60  42.2600 W   2.3        3.0       12.1        8.1        4.9*      72.6*
050916  211935  47  12.1730 N  60  42.2620 W   2.1        3.0       12.1        8.1        4.9       72.6 
050916  211937  47  12.1720 N  60  42.2630 W   2.2        3.0       12.1        8.1        4.9       72.6 
050916  211939  47  12.1710 N  60  42.2640 W   2.2        3.0       12.1        8.1        5.5*      77.9*
050916  211941  47  12.1700 N  60  42.2650 W   2.2        3.0        2.7*       8.1        5.5       77.9 
050916  211943  47  12.1680 N  60  42.2660 W   2.3        3.0        2.7        8.1        5.6*      80.1*
050916  211945  47  12.1670 N  60  42.2670 W   2.5        3.0        2.7        8.1        5.6       80.1 
050916  211947  47  12.1660 N  60  42.2680 W   1.9        2.9*       2.7        8.1        5.6       80.1 
050916  211949  47  12.1650 N  60  42.2690 W   3.0        2.9        2.7        8.1        5.1*      84.0*
050916  211951  47  12.1630 N  60  42.2700 W   1.7        2.9        2.7        8.1        5.1       84.0 
050916  211953  47  12.1630 N  60  42.2710 W   2.6        2.9        2.7        8.1       10.4*      84.0 
050916  211955  47  12.1620 N  60  42.2720 W   1.6        2.9        2.7        8.1       10.4       86.7*
050916  211957  47  12.1610 N  60  42.2720 W   2.0        2.9        2.7        8.1       10.4       86.7 
050916  211959  47  12.1600 N  60  42.2730 W   1.7        2.9       11.3*       8.1        0.0*      96.3*
050916  212001  47  12.1600 N  60  42.2740 W   2.0        2.9       11.3        8.1        0.0       96.3 
050916  212003  47  12.1590 N  60  42.2750 W   1.5        2.9       11.3        8.1        0.0       96.3 
050916  212005  47  12.1580 N  60  42.2750 W   2.4        2.9       11.3        8.1        4.4*      88.9*
050916  212007  47  12.1570 N  60  42.2760 W   1.7        2.9       11.3        8.1        4.4       88.9 
050916  212009  47  12.1560 N  60  42.2770 W   2.5        2.9       11.3        8.1        5.3*      88.9 
050916  212011  47  12.1550 N  60  42.2780 W   2.1        2.9       11.3        8.1        5.3       97.7*
050916  212013  47  12.1540 N  60  42.2780 W   1.7        3.4*      11.3        8.1        5.3       97.7 
050916  212015  47  12.1530 N  60  42.2800 W   2.4        3.4       11.3        8.1        5.3*      97.7 
050916  212017  47  12.1520 N  60  42.2810 W   1.9        3.4       11.3        8.1        5.3       97.2*
050916  212019  47  12.1510 N  60  42.2820 W   2.6        3.4       11.3        8.1        6.2*      97.2 
050916  212021  47  12.1500 N  60  42.2830 W   1.5        3.4       11.3        8.1        6.2       95.9*
050916  212023  47  12.1490 N  60  42.2840 W   2.3        3.4       11.3        8.1        6.2       95.9 
050916  212025  47  12.1480 N  60  42.2850 W   2.4        3.4       11.3        8.1        7.1*      95.9 
050916  212027  47  12.1470 N  60  42.2860 W   1.8        3.4       11.3        8.1        7.1      104.3*
050916  212029  47  12.1460 N  60  42.2860 W   2.5        3.4       11.3        8.1        7.1      104.3 
050916  212031  47  12.1460 N  60  42.2870 W   1.7        3.4        2.3*       8.1        6.9*     104.3 
050916  212033  47  12.1450 N  60  42.2880 W   2.3        3.4        2.3        8.1        6.9      105.6*
