FileName: C:\2005NE~1\GP258.TXT
Local Time: Sat Sep 17 17:19:31 2005

Ship: Marco Michel Trip: 09 Tow: gp258
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  202438  46  54.1950 N  61  14.5350 W   2.1       11.4       11.8        0.0       10.7       66.4 
050917  202440  46  54.1930 N  61  14.5350 W   1.8       11.4       11.8        0.0       10.7       65.5*
050917  202442  46  54.1920 N  61  14.5350 W   2.2       11.4       11.8        0.0       11.3*      65.5 
050917  202444  46  54.1910 N  61  14.5340 W   1.9       11.4       11.8        0.0       11.3       63.8*
050917  202446  46  54.1900 N  61  14.5330 W   2.5       11.4       11.8        0.0       11.3       63.8 
050917  202448  46  54.1890 N  61  14.5330 W   1.6       11.4       11.8        0.0       11.3       63.8 
050917  202450  46  54.1880 N  61  14.5320 W   2.5       11.4       11.8        0.0       11.3       66.0*
050917  202452  46  54.1870 N  61  14.5320 W   2.3       11.4       11.8        0.0       11.0*      66.0 
050917  202454  46  54.1860 N  61  14.5310 W   2.1       11.4       11.8        0.0       11.0       66.0 
050917  202456  46  54.1850 N  61  14.5300 W   2.2       11.4       11.8        0.0       11.0       67.3*
050917  202458  46  54.1840 N  61  14.5290 W   2.3       11.4       11.8        0.0       10.3*      67.3 
050917  202500  46  54.1830 N  61  14.5280 W   2.2       11.4       11.8        0.0       10.3       66.4*
050917  202502  46  54.1820 N  61  14.5280 W   1.9       11.4       11.8        0.0       10.3       66.4 
050917  202504  46  54.1810 N  61  14.5270 W   2.3       11.4       11.8        0.0       10.4*      66.4 
050917  202506  46  54.1790 N  61  14.5260 W   2.2       11.4       11.8        0.0       10.4       65.5*
050917  202508  46  54.1780 N  61  14.5250 W   2.0       11.4       10.9*       0.0       10.7*      65.5 
050917  202510  46  54.1770 N  61  14.5240 W   2.2       11.4       10.9        0.0       10.7       65.5 
050917  202512  46  54.1760 N  61  14.5230 W   2.2       11.4       10.9        0.0       10.7       67.7*
050917  202514  46  54.1750 N  61  14.5220 W   2.1       11.4       10.9        0.0       10.7*      67.7 
050917  202516  46  54.1740 N  61  14.5210 W   1.9       11.4       10.9        0.0       10.7       63.3*
050917  202518  46  54.1730 N  61  14.5210 W   2.2       11.4       10.9        0.0       10.7       63.3 
050917  202520  46  54.1720 N  61  14.5200 W   2.3       11.4       10.9        0.0       13.6*      63.3 
050917  202522  46  54.1710 N  61  14.5190 W   1.8       11.4       10.9        0.0       13.6       68.6*
050917  202524  46  54.1700 N  61  14.5180 W   2.5       11.4       10.9        0.0        8.7*      68.6 
050917  202526  46  54.1690 N  61  14.5180 W   1.9       11.4       10.9        0.0        8.7       68.6 
050917  202528  46  54.1680 N  61  14.5170 W   2.2       11.4       10.9        0.0        8.7       66.9*
050917  202530  46  54.1670 N  61  14.5160 W   1.9       11.4       10.9        0.0       10.4*      66.9 
050917  202532  46  54.1660 N  61  14.5150 W   2.2       11.4       10.9        0.0       10.4       62.5*
050917  202534  46  54.1650 N  61  14.5150 W   2.1       11.4       10.9        0.0       10.4       62.5 
050917  202536  46  54.1640 N  61  14.5140 W   2.0       11.4       10.9        0.0       10.7*      62.5 
050917  202538  46  54.1630 N  61  14.5130 W   2.2       11.4       10.9        0.0       10.7       67.7*
050917  202540  46  54.1620 N  61  14.5130 W   1.9       11.4       10.9        0.0       10.7*      67.7 
050917  202542  46  54.1610 N  61  14.5120 W   2.2       11.4       10.9        0.0       10.7       67.7 
050917  202544  46  54.1600 N  61  14.5110 W   2.1       11.4       10.9        0.0       10.7       65.1*
050917  202546  46  54.1590 N  61  14.5100 W   1.9       11.4       10.9        0.0       10.7*      65.1 
050917  202548  46  54.1580 N  61  14.5090 W   2.2       11.4       10.9        0.0       10.7       65.5*
