FileName: C:\2005NE~1\GP155.TXT
Local Time: Sat Aug 27 13:35:30 2005

Ship: Marco Michel Trip: 08 Tow: gp155
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050827  164219  47  55.1930 N  64   2.4580 W   2.0        4.7        9.9        4.5        0.0       90.6 
050827  164221  47  55.1920 N  64   2.4590 W   1.9        4.7        9.9        9.0*       0.0       89.3*
050827  164223  47  55.1910 N  64   2.4600 W   1.9        4.7        9.9        9.0        0.0       89.3 
050827  164225  47  55.1900 N  64   2.4610 W   1.9        4.7        9.9        9.0        0.0       89.3 
050827  164227  47  55.1890 N  64   2.4610 W   2.0        4.7        9.9        8.6*       0.0       86.7*
050827  164229  47  55.1880 N  64   2.4630 W   2.0        4.7        9.9        8.6        0.0       86.7 
050827  164231  47  55.1870 N  64   2.4640 W   1.9        4.7        9.9        8.6        0.0       88.9*
050827  164233  47  55.1860 N  64   2.4640 W   1.8        4.7        9.9        9.0*       0.0       88.9 
050827  164235  47  55.1840 N  64   2.4650 W   1.8        4.7        9.9        9.0        0.0       88.9 
050827  164237  47  55.1830 N  64   2.4660 W   1.8        4.7        9.9        8.4*       0.0       88.4*
050827  164239  47  55.1820 N  64   2.4670 W   2.0        4.7        9.9        8.4        0.0       88.4 
050827  164241  47  55.1810 N  64   2.4680 W   2.0        4.7        9.9        8.4        0.0       88.4 
050827  164243  47  55.1800 N  64   2.4680 W   1.9        4.7        9.9        8.6*       0.0       88.0*
050827  164245  47  55.1790 N  64   2.4690 W   1.8        4.7        9.9        8.6        0.0       88.0 
050827  164247  47  55.1780 N  64   2.4700 W   1.8        4.7        9.9        8.6        0.0       89.3*
050827  164249  47  55.1780 N  64   2.4700 W   1.8        4.7        9.9        8.7*       0.0       89.3 
050827  164251  47  55.1770 N  64   2.4710 W   1.9        4.7        9.9        8.7        0.0       89.3 
050827  164253  47  55.1760 N  64   2.4720 W   1.9        4.7        9.9        8.9*       0.0       88.9*
050827  164255  47  55.1750 N  64   2.4730 W   1.8        4.7        9.9        8.9        0.0       88.9 
050827  164257  47  55.1740 N  64   2.4740 W   1.8        4.7        9.9        8.9        0.0       88.9 
050827  164259  47  55.1740 N  64   2.4750 W   1.8        4.7        9.9        9.0*       0.0       86.2*
050827  164301  47  55.1730 N  64   2.4760 W   1.8        4.7        9.9        9.0        0.0       86.2 
050827  164303  47  55.1720 N  64   2.4770 W   1.8        4.7       11.1*       9.0        0.0       88.9*
050827  164305  47  55.1710 N  64   2.4780 W   1.8        4.7       11.1        9.6*       0.0       88.9 
050827  164307  47  55.1700 N  64   2.4780 W   1.8        4.7       11.1        9.6        0.0       88.9 
050827  164309  47  55.1700 N  64   2.4790 W   1.7        4.7       11.1        8.3*       0.0       88.9*
050827  164311  47  55.1690 N  64   2.4790 W   1.6        4.7       11.1        8.3        0.0       88.9 
050827  164313  47  55.1680 N  64   2.4800 W   1.6        4.7       11.1        8.3        0.0       88.9 
050827  164315  47  55.1670 N  64   2.4810 W   1.7        4.7       11.1        8.1*       0.0       66.9*
050827  164317  47  55.1660 N  64   2.4820 W   1.7        4.7       11.1        8.1        0.0       66.9 
050827  164319  47  55.1650 N  64   2.4830 W   1.7        4.7       11.1        8.1        0.0      109.5*
050827  164321  47  55.1640 N  64   2.4830 W   1.8        4.7       11.1        8.1        0.0      109.5 
