% Instrument type = SBE56
% Serial Number = 05607477
% Firmware Version = SBE56 V0.96
% Conversion Date = 2018-09-12
% Source file = C:\Users\Temp\Desktop\MINILOG 2018\test\anchor outside 19 2017\SBE05607477_2018-09-12.xml
% Calibration Date = 2017-01-27
% Coefficients: 
%       A0 = -1.295961E-3
%       A1 = 3.416024E-4
%       A2 = -5.879263E-6
%       A3 = 1.880126E-7
"Date","Time","Temperature"
"2017-09-04","10:07:02","20.0499"
"2017-09-04","11:07:02","20.0725"
"2017-09-04","12:07:02","20.2402"
"2017-09-04","13:07:02","20.5239"
"2017-09-04","14:07:02","20.8797"
"2017-09-04","15:07:02","21.2535"
"2017-09-04","16:07:02","21.5804"
"2017-09-04","17:07:02","21.8220"
"2017-09-04","18:07:02","22.0064"
"2017-09-04","19:07:02","22.1462"
"2017-09-04","20:07:02","22.2082"
"2017-09-04","21:07:02","22.1559"
"2017-09-04","22:07:02","22.0550"
"2017-09-04","23:07:02","21.9386"
"2017-09-05","00:07:02","21.7898"
"2017-09-05","01:07:02","21.6097"
"2017-09-05","02:07:02","21.4241"
"2017-09-05","03:07:02","21.2613"
"2017-09-05","04:07:02","21.1292"
"2017-09-05","05:07:02","21.0267"
"2017-09-05","06:07:02","20.9483"
"2017-09-05","07:07:02","20.8827"
"2017-09-05","08:07:02","20.8976"
"2017-09-05","09:07:02","21.1208"
"2017-09-05","10:07:02","21.3865"
"2017-09-05","11:07:02","21.5744"
"2017-09-05","12:07:02","21.7362"
"2017-09-05","13:07:02","21.9059"
"2017-09-05","14:07:02","22.1682"
"2017-09-05","15:07:02","22.5307"
"2017-09-05","16:07:02","22.9343"
"2017-09-05","17:07:02","23.3517"
"2017-09-05","18:07:02","23.7508"
"2017-09-05","19:07:02","24.0616"
"2017-09-05","20:07:02","24.1211"
"2017-09-05","21:07:02","24.0443"
"2017-09-05","22:07:02","23.8943"
"2017-09-05","23:07:02","23.6705"
"2017-09-06","00:07:02","23.3456"
"2017-09-06","01:07:02","23.0549"
"2017-09-06","02:07:02","22.8097"
"2017-09-06","03:07:02","22.6028"
"2017-09-06","04:07:02","22.4233"
"2017-09-06","05:07:02","22.4915"
"2017-09-06","06:07:02","22.6362"
"2017-09-06","07:07:02","22.7553"
"2017-09-06","08:07:02","22.7646"
"2017-09-06","09:07:02","22.6588"
"2017-09-06","10:07:02","22.7402"
"2017-09-06","11:07:02","22.8938"
"2017-09-06","12:07:02","23.0598"
"2017-09-06","13:07:02","23.1845"
"2017-09-06","14:07:02","23.4474"
"2017-09-06","15:07:02","23.6271"
"2017-09-06","16:07:02","23.7347"
"2017-09-06","17:07:02","23.8200"
"2017-09-06","18:07:02","23.9793"
"2017-09-06","19:07:02","24.1721"
"2017-09-06","20:07:02","24.1967"
"2017-09-06","21:07:02","24.1028"
"2017-09-06","22:07:02","24.1286"
"2017-09-06","23:07:02","24.0383"
"2017-09-07","00:07:02","23.8503"
"2017-09-07","01:07:02","23.7469"
"2017-09-07","02:07:02","23.6533"
"2017-09-07","03:07:02","23.5045"
"2017-09-07","04:07:02","23.3492"
"2017-09-07","05:07:02","23.2799"
"2017-09-07","06:07:02","23.1653"
"2017-09-07","07:07:02","23.0625"
"2017-09-07","08:07:02","23.1051"
"2017-09-07","09:07:02","23.2379"
"2017-09-07","10:07:02","23.2222"
"2017-09-07","11:07:02","23.4657"
"2017-09-07","12:07:02","23.1191"
"2017-09-07","13:07:02","22.9408"
"2017-09-07","14:07:02","23.0059"
"2017-09-07","15:07:02","23.0443"
"2017-09-07","16:07:02","23.0101"
"2017-09-07","17:07:02","23.0479"
"2017-09-07","18:07:02","23.3492"
"2017-09-07","19:07:02","23.3871"
"2017-09-07","20:07:02","23.3302"
"2017-09-07","21:07:02","23.3324"
"2017-09-07","22:07:02","23.1818"
"2017-09-07","23:07:02","23.0026"
"2017-09-08","00:07:02","22.7980"
"2017-09-08","01:07:02","22.5943"
"2017-09-08","02:07:02","22.3821"
"2017-09-08","03:07:02","22.1726"
"2017-09-08","04:07:02","21.9862"
