FileName: C:\2005SE~1\SEL0072.TXT
Local Time: Thu Oct 13 11:13:18 2005

Ship: Marco Michel Trip: 01 Tow: sel0072
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051013  142128  46  43.6000 N  61   3.1200 W   2.1        3.4        8.6        0.0        5.3      127.0*
051013  142130  46  43.5980 N  61   3.1210 W   2.1        3.4        8.6        0.0        5.3      127.0 
051013  142132  46  43.5970 N  61   3.1220 W   2.0        3.4        8.6        0.0        5.3      123.9*
051013  142134  46  43.5960 N  61   3.1220 W   2.1        3.4        8.6        0.0        5.3      123.9 
051013  142136  46  43.5950 N  61   3.1220 W   2.0        3.4        8.6        0.0       11.3*     123.9 
051013  142138  46  43.5940 N  61   3.1230 W   1.8        3.4        8.6        0.0       11.3      127.4*
051013  142140  46  43.5920 N  61   3.1240 W   2.4        3.4        8.6        0.0       11.3      127.4 
051013  142142  46  43.5910 N  61   3.1240 W   1.5        3.4       11.3*       0.0       11.2*     127.4 
051013  142144  46  43.5900 N  61   3.1240 W   2.1        3.4       11.3        0.0       11.2      124.8*
051013  142146  46  43.5890 N  61   3.1250 W   2.0        3.4       11.3        0.0       11.2      124.8 
051013  142148  46  43.5880 N  61   3.1260 W   2.0        3.4       11.3        0.0       11.0*     124.8*
051013  142150  46  43.5870 N  61   3.1260 W   1.8        3.4       11.3        0.0       11.0      124.8 
051013  142152  46  43.5860 N  61   3.1260 W   2.2        3.4       11.3        0.0       11.0      124.8 
051013  142154  46  43.5840 N  61   3.1270 W   1.8        3.4       10.0*       0.0       11.1*     126.1*
051013  142156  46  43.5830 N  61   3.1280 W   2.1        3.4       10.0        0.0       11.1      126.1 
051013  142158  46  43.5820 N  61   3.1280 W   1.9        3.4       10.0        0.0       11.1      126.1 
051013  142200  46  43.5810 N  61   3.1280 W   2.1        3.4       10.0        0.0       11.1      126.1*
051013  142202  46  43.5800 N  61   3.1290 W   2.1        3.4       10.0        0.0       11.1      126.1 
051013  142204  46  43.5790 N  61   3.1290 W   1.6        3.4       10.0        0.0       10.8*     126.1 
051013  142206  46  43.5780 N  61   3.1290 W   2.2        3.4       10.0        0.0       10.8      125.6*
051013  142208  46  43.5770 N  61   3.1300 W   1.7        3.4       10.0        0.0       11.0*     125.6 
051013  142210  46  43.5760 N  61   3.1310 W   2.0        3.4       10.0        0.0       11.0      125.6*
051013  142212  46  43.5740 N  61   3.1310 W   1.9        3.4       10.0        0.0       11.0      125.6 
051013  142214  46  43.5740 N  61   3.1320 W   2.1        3.4       10.0        0.0       10.7*     125.6 
051013  142216  46  43.5730 N  61   3.1320 W   1.9        3.4       10.0        0.0       10.7      125.6*
